Algorithm,Average Path Deviation,Success Rate,Average Time,Average Steps,Average Distance,Average Distance from Goal,Average Original Distance from Goal,Average Search Space,Average Memory
A*,0,99,0.0442,68.18,38.61,0.42,33.38,10.52,88.32
Wave-front,3.64,99,0.0607,68.07,42.25,0.42,33.38,nan,22.77
Dijkstra,0,99,0.0699,68.18,38.61,0.42,33.38,42.74,228.59
Online LSTM,0.910000000000004,60,0.0694,57.87,33.32,9.89,33.38,nan,17.96
Online LSTM (ubh 10000 training),2.54,71.44,0.0773,64.95,37.12,6.48,33.38,nan,12.57
CAE Online LSTM,1.06,61.56,0.0898,57.34,33.18,9.17,33.38,nan,14.5
CAE Online LSTM (ubh 10000 training),2.25,64.33,0.0992,64.75,36.51,7.44,33.38,nan,12.61
Combined Online LSTM,1.72,86.22,1.0126,99.68,37.78,2.96,33.38,nan,72.64
WayPointNavigation (Bagging),7.78,99,1.6999,129.25,46.39,0.26,33.38,3.96,803.64
WayPointNavigation (Map -block training),4.56,99,0.2653,120.26,43.17,0.28,33.38,4.75,55.5
WayPointNavigation (Map -urf training),7.01,99,0.2334,127.2,45.62,0.21,33.38,4.43,28.44
Potential Field,3.79,80,6.4422,70,41.23,5.69,35.83,nan,3221.91
OMPL RRT,61.09,100,2.2004,107.4,95.14,0,35.83,nan,1083.8
OMPL PRM*,30.2,100,22.1236,73.6,64.25,0,35.83,nan,37724.43
OMPL Lazy PRM*,17.2,100,32.1803,66.87,51.25,0,35.83,nan,12137.27
OMPL RRTX,23.1,86.67,40.1126,65.23,57.65,0.7,35.83,nan,2557.27
OMPL RRT*,6.46,80,40.0615,52.08,45.44,2.09,35.83,nan,3172.49
OMPL RRT#,7.11,80,40.0775,50.58,44.55,1.41,35.83,nan,1364.51
OMPL KPIECE1,319.41,93.33,2.4022,389.36,355.89,0.27,35.83,nan,2838.25
OMPL PDST,75.9,80,2.9123,128.33,113.88,1.41,35.83,nan,1516.07
OMPL SST,39.18,53.33,15.0243,99,81.56,1.38,35.83,nan,2009.77
OMPL BiEST,74.96,100,2.817,119.93,109.01,0,35.83,nan,507.36
OMPL TRRT,43.16,100,1.75,98.67,77.21,0,35.83,nan,201.25
OMPL RRT Connect,54.84,100,1.7423,99.47,88.89,0,35.83,nan,280.71
OMPL BIT*,20.51,100,16.0571,80.2,54.56,0,35.83,nan,5235.78
OMPL BKPIECE1,816.62,100,6.0267,913.73,850.67,0,35.83,nan,679.94
OMPL EST,32.79,80,2.7568,79.25,71.77,2.98,35.83,nan,540.13
OMPL LazyLBTRRT,28.54,100,35.1701,74.53,62.59,0,35.83,nan,17475.17
OMPL LazyPRM,56.28,100,0.8465,104.67,90.33,0,35.83,nan,449.47
OMPL LazyRRT,49.73,100,15.2625,98.73,83.78,0,35.83,nan,782.61
OMPL LBKPIECE1,1227.52,100,3.279,1350.73,1261.57,0,35.83,nan,828.21
OMPL LBTRRT,27.62,100,35.1333,73.87,61.67,0,35.83,nan,27812.93
OMPL PRM,48.28,100,9.1296,94.87,82.33,0,35.83,nan,5234.14
OMPL STRIDE,95.24,,5.1824,142.4,129.29,0,35.83,nan,13403.48
