Algorithm,Average Path Deviation,Success Rate,Average Time,Average Steps,Average Distance,Average Distance from Goal,Average Original Distance from Goal,Average Search Space,Average Memory
A*,0.0,86.67,0.0473,70.31,39.28,5.9,35.83,9.8,364.82
OMPL PRM*,16.040000000000006,93.33,40.0876,62.79,52.52,3.74,35.83,nan,10274.95
OMPL Lazy PRM*,17.200000000000003,100.0,32.1803,66.87,51.25,0.0,35.83,nan,12137.27
OMPL RRTX,23.1,86.67,40.1126,65.23,57.65,0.7,35.83,nan,2557.27
OMPL RRT*,6.460000000000001,80.0,40.0615,52.08,45.44,2.09,35.83,nan,3172.49
OMPL RRT#,7.109999999999999,80.0,40.0775,50.58,44.55,1.41,35.83,nan,1364.51
OMPL KPIECE1,319.40999999999997,93.33,2.4022,389.36,355.89,0.27,35.83,nan,2838.25
OMPL PDST,75.9,80.0,2.9123,128.33,113.88,1.41,35.83,nan,1516.07
OMPL SST,39.18,53.33,15.0243,99.0,81.56,1.38,35.83,nan,2009.77
OMPL BiEST,74.96000000000001,100.0,2.817,119.93,109.01,0.0,35.83,nan,507.36
OMPL TRRT,43.16,100.0,1.75,98.67,77.21,0.0,35.83,nan,201.25
OMPL RRT Connect,54.84,100.0,1.7423,99.47,88.89,0.0,35.83,nan,280.71
OMPL BIT*,20.510000000000005,100.0,16.0571,80.2,54.56,0.0,35.83,nan,5235.78
OMPL BKPIECE1,816.62,100.0,6.0267,913.73,850.67,0.0,35.83,nan,679.94
OMPL EST,32.79,80.0,2.7568,79.25,71.77,2.98,35.83,nan,540.13
OMPL LazyLBTRRT,28.540000000000006,100.0,35.1701,74.53,62.59,0.0,35.83,nan,17475.17
OMPL LazyPRM,56.28,100.0,0.8465,104.67,90.33,0.0,35.83,nan,449.47
OMPL LazyRRT,49.730000000000004,100.0,15.2625,98.73,83.78,0.0,35.83,nan,782.61
OMPL LBKPIECE1,1227.52,100.0,3.279,1350.73,1261.57,0.0,35.83,nan,828.21
OMPL LBTRRT,27.620000000000005,100.0,35.1333,73.87,61.67,0.0,35.83,nan,27812.93
OMPL PRM,48.28,100.0,9.1296,94.87,82.33,0.0,35.83,nan,5234.14
OMPL STRIDE,95.24,100.0,5.1824,142.4,129.29,0.0,35.83,nan,13403.48
