Algorithm,Time,Distance,Distance from Goal,Path Deviation,Original Distance from Goal,Search Space,Memory
A*,0.07896,42.970562748477136,0.0,0.0,38.2099463490856,9.3017578125,249.856
A*,0.006981,8.485281374238571,0.0,0.0,8.48528137423857,0.830078125,106.496
A*,0.016315,16.48528137423857,0.0,0.0,14.212670403551895,2.63671875,274.432
A*,0.064009,54.970562748477136,0.0,0.0,51.419840528729765,14.6240234375,409.6
A*,0.048845,44.0416305603426,0.0,0.0,29.120439557122072,13.5986328125,253.952
A*,0.040714,62.727922061357845,0.0,0.0,57.271284253105414,8.8623046875,221.184
A*,0.029918,18.55634918610405,0.0,0.0,17.804493814764857,2.24609375,0.0
A*,0.016189,22.62741699796953,0.0,0.0,22.627416997969522,1.9775390625,94.208
A*,0.04179,33.65685424949238,56.08029957123981,0.0,56.08029957123981,5.8837890625,90.112
A*,0.027251,37.2842712474619,0.0,0.0,32.2490309931942,7.9345703125,253.952
A*,0.121989,61.455844122715696,0.0,0.0,34.713109915419565,27.6123046875,503.808
A*,0.079475,59.94112549695424,0.0,0.0,41.97618372363071,21.1181640625,212.992
A*,0.042626,47.485281374238554,0.0,0.0,55.46169849544819,10.8154296875,4.096
OMPL PRM*,40.230528,69.31370849898475,0.0,-26.343145750507617,38.2099463490856,nan,64143.36
OMPL PRM*,40.26596,11.414213562373096,0.0,-2.9289321881345245,8.48528137423857,nan,4853.76
OMPL PRM*,40.009419,20.0,0.0,-3.5147186257614287,14.212670403551895,nan,5951.488
OMPL PRM*,40.128077,67.31370849898475,0.0,-12.343145750507617,51.419840528729765,nan,24031.232
OMPL PRM*,40.01418,51.656854249492376,0.0,-7.615223689149779,29.120439557122072,nan,1196.032
OMPL PRM*,40.042179,72.82842712474618,0.0,-10.10050506338834,57.271284253105414,nan,8278.016
OMPL PRM*,40.053107,22.071067811865476,0.0,-3.514718625761425,17.804493814764857,nan,1593.344
OMPL PRM*,40.09804,31.414213562373096,0.0,-8.786796564403566,22.627416997969522,nan,712.704
OMPL PRM*,40.080272,40.828427124746185,56.08029957123981,-7.171572875253801,56.08029957123981,nan,761.856
OMPL PRM*,40.087088,47.24264068711928,0.0,-9.958369439657375,32.2490309931942,nan,819.2
OMPL PRM*,40.062113,74.24264068711929,0.0,-12.786796564403595,34.713109915419565,nan,2813.952
OMPL PRM*,40.070718,74.14213562373094,0.0,-14.201010126776694,41.97618372363071,nan,573.44
OMPL PRM*,40.065877,51.0,0.0,-3.5147186257614464,55.46169849544819,nan,19648.512
OMPL PRM*,40.018978,101.82842712474618,0.0,-101.82842712474618,45.39823785126467,nan,17100.8
OMPL Lazy PRM*,30.087939,48.48528137423857,0.0,-5.514718625761432,38.2099463490856,nan,23470.08
OMPL Lazy PRM*,30.061058,11.414213562373096,0.0,-2.9289321881345245,8.48528137423857,nan,135471.104
OMPL Lazy PRM*,30.090176,18.242640687119287,0.0,-1.7573593128807161,14.212670403551895,nan,2539.52
OMPL Lazy PRM*,30.105936,58.48528137423857,0.0,-3.5147186257614322,51.419840528729765,nan,1261.568
OMPL Lazy PRM*,30.073304,51.65685424949238,0.0,-7.615223689149786,29.120439557122072,nan,778.24
OMPL Lazy PRM*,30.265382,66.24264068711929,0.0,-3.5147186257614464,57.271284253105414,nan,3235.84
OMPL Lazy PRM*,30.123355,19.72792206135786,0.0,-1.1715728752538084,17.804493814764857,nan,65.536
OMPL Lazy PRM*,30.085053,31.414213562373096,0.0,-8.786796564403566,22.627416997969522,nan,167.936
OMPL Lazy PRM*,30.059376,108.62084428835,0.0,-108.62084428835,56.08029957123981,nan,1912.832
OMPL Lazy PRM*,30.072556,35.65685424949238,0.0,-2.0,32.2490309931942,nan,1245.184
OMPL Lazy PRM*,30.123581,42.55634918610404,0.0,-5.272077938642141,34.713109915419565,nan,3796.992
OMPL Lazy PRM*,30.228817,63.071067811865476,0.0,-1.6152236891497793,41.97618372363071,nan,1150.976
OMPL Lazy PRM*,30.118173,65.21320343559641,0.0,-5.27207793864217,55.46169849544819,nan,913.408
OMPL Lazy PRM*,30.173194,51.0,0.0,-3.5147186257614464,45.39823785126467,nan,3739.648
OMPL Lazy PRM*,61.037115,97.0,0.0,-97.0,32.449961479175904,nan,2310.144
OMPL RRTX,40.043779,11.414213562373096,7.280109889280518,-2.9289321881345245,38.2099463490856,nan,974.848
OMPL RRTX,40.024874,19.414213562373096,0.0,-2.9289321881345245,8.48528137423857,nan,659.456
OMPL RRTX,40.04091,62.48528137423856,0.0,-7.514718625761425,14.212670403551895,nan,1302.528
OMPL RRTX,40.046688,52.47213595499958,0.0,-8.430505394656983,51.419840528729765,nan,184.32
OMPL RRTX,40.817215,66.82842712474618,0.0,-4.10050506338834,29.120439557122072,nan,22368.256
OMPL RRTX,40.051033,30.82842712474619,0.0,-8.201010126776662,57.271284253105414,nan,131.072
OMPL RRTX,40.049475,110.13556291411145,3.1622776601683795,-110.13556291411145,17.804493814764857,nan,2707.456
